title,id,overview,genres,cast,director,writers,production_companies,producers,original_language,vote_count,vote_average,popularity,runtime,release_date
Blue Exorcist: The Movie,201223,"The atmosphere in True Cross Academy is lively and boisterous in the days leading up to the grand festival held once every 11 years. During this time, Okumura Rin is entrusted with the responsibility of suppressing the berserk Phantom Train. In the midst of his mission, he meets a devil whose appearance is that of a young boy.","Animation, Fantasy, Mystery, Horror, Action","Keiji Fujiwara, Daisuke Ono, Koji Yusa, Nobuhiko Okamoto, Ayahi Takagaki, Kana Hanazawa, Kazuya Nakai, Jun Fukuyama, Eri Kitamura, Yuki Kaji, Nao Toyama",Atsushi Takahashi,"Reiko Yoshida, Kazue Kato","A-1 Pictures, Aniplex, Shueisha, MBS, movic, dentsu, TOHO, TBS, Bandai, Bandai Namco Games","Miho Ueda, Sadao Iwahara, Nobuo Takada, Tetsuhito Motoyasu, Masahiko Ibaraki, Kouichirou Natsume, Arimasa Okada, Hiroo Maruyama, Kozue Kananiwa, Yoshitaka Tao, Manabu Endou, Minami Ichikawa, Masaki Yasuda, Takamitsu Inoue, Makoto Asanuma",ja,140,7.282,18.149,88,2012-12-28
Black Swan,44214,A journey through the psyche of a young ballerina whose starring role as the duplicitous swan queen turns out to be a part for which she becomes frighteningly perfect.,"Drama, Thriller, Horror","Barbara Hershey, Liam Flaherty, Daralina Komar, Toby Hemingway, Stanley B. Herman, Megan Dickinson, Mark Margolis, Ksenia Solo, Deborah Offner, Jamie Wolf, Olga Kostritzky, Rachel Jambois, Laura Bowman, Patrick Heusinger, Alyson Cambridge, Sarah Lane, Natalie Portman, Christine Redpath, Holly L. Fusco, Rebecca Azenberg, Sergio Torrado, Shaun O'Hagan, Marcia Jean Kurtz, Lauren Fadeley, Tina Sloan, Ryoko Sadoshima, Sebastian Stan, Anne Bergstedt Jordanova, Winona Ryder, Charlotte Aronofsky, Sarah Hay, Abraham Aronofsky, Leslie Lyles, Chris Gartin, Jessy Hendrickson, Michelle Rodriguez Nouel, Marina Stavitskaya, Kaia A. Tack, Abigail Mentzer, Lillian di Piazza, Carrie Lee Riggins, Gina Artese, Alexandra Damiani, Adrianna de Svastich, Geneviève Lebean, Mila Kunis, Kristina Anapau, Arkadiy Figlin, Benjamin Millepied, Janet Montgomery, John Epperson, Vincent Cassel, Tim Lacatena, Marty Krzywonos, Barette Vance, Tim Fain, Kurt Froman",Darren Aronofsky,"John J. McLaughlin, Mark Heyman, Andres Heinz","Fox Searchlight Pictures, Cross Creek Pictures, Protozoa Pictures, Phoenix Pictures, Dune Entertainment","Scott Franklin, Peter Fruchtman, Jennifer Roth, Rick Schwartz, Jerry Fruchtman, Jon Avnet, Arnold Messer, Mike Medavoy, Tyler Thompson, Rose Garnett, Brian Oliver, Brad Fischer, David Thwaites, Joseph P. Reidy, Ari Handel",en,13948,7.681,46.602,108,2010-12-03
Alien,348,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.","Horror, Science Fiction","Eddie Powell, Yaphet Kotto, Bolaji Badejo, John Hurt, Harry Dean Stanton, Tom Skerritt, Veronica Cartwright, Helen Horton, Roy Scammell, Ian Holm, Sigourney Weaver",Ridley Scott,"Ronald Shusett, Dan O'Bannon","20th Century Fox, Brandywine Productions","Gordon Carroll, Ronald Shusett, David Giler, Walter Hill",en,13743,8.149,100.831,117,1979-05-25
Jaws,578,"When the seaside community of Amity finds itself under attack by a dangerous great white shark, the town's chief of police, a young marine biologist, and a grizzled hunter embark on a desperate quest to destroy the beast before it strikes again.","Horror, Thriller, Adventure","Jonathan Filley, Robert Shaw, Chris Rebello, Craig Kingsbury, Beverly Powers, Steven Spielberg, Belle McDonald, Murray Hamilton, Dorothy Fielding, Rex Trailer, Jeffrey Voorhees, Peter Benchley, Ted Grossman, Phil Murray, Lorraine Gary, Ayn Ruymen, Jay Mello, Robert Nevin, Joseph Oliveira, Christopher Sands, Lee Fierro, Jeffrey Kramer, Joe La Creta, Richard Dreyfuss, Fritzi Jane Courtney, Roy Scheider, Susan Backlinie, David Engelbach, Carl Gottlieb",Steven Spielberg,"Peter Benchley, Carl Gottlieb","Zanuck/Brown Productions, Universal Pictures","Richard D. Zanuck, David Brown",en,9895,7.66,48.37,124,1975-06-20
Constantine,561,"John Constantine has literally been to Hell and back. When he teams up with a policewoman to solve the mysterious suicide of her twin sister, their investigation takes them through the world of demons and angels that exists beneath the landscape of contemporary Los Angeles.","Fantasy, Action, Horror","Roberto Kawata, Michelle Monaghan, José Zúñiga, Jeremy Ray Valdez, Sharon Omi, Nicholas Downs, Max Baker, Jhoanna Trias, Connor Dylan Wryn, Laz Alonso, Edward J. Rosen, Barbara Pilavin, Gavin Rossdale, Alice Lo, Francis Guinan, Ann Ryerson, Jesse Ramirez, Larry Cedar, Jose Molina, Tanoai Reed, Chad Stahelski, Stephanie Fabian, Suzanne Whang, Quinn Buniel, April Grace, Pruitt Taylor Vince, Djimon Hounsou, Tilda Swinton, Shia LaBeouf, Keanu Reeves, Peter Stormare, Rachel Weisz, John Gipson, R.A. Rondell, C.W. Pyun",Francis Lawrence,"Enfys Dickinson, Jamie Delano, Frank A. Cappello, Kevin Brodbin, Garth Ennis, Alan Moore","Village Roadshow Pictures, Lonely Film Productions GmbH & Co. KG., The Donners' Company, Batfilm Productions, Weed Road Pictures, Warner Bros. Pictures, 3 Arts Entertainment, DC Vertigo","Gilbert Adler, Michael Uslan, Lorenzo di Bonaventura, Akiva Goldsman, Benjamin Melniker, Lauren Shuler Donner, Michael Aguilar, Erwin Stoff",en,6774,7.082,61.389,121,2005-02-08
Gremlins,927,"When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, unleashing a horde of mischievous gremlins on a small town.","Fantasy, Horror, Comedy","Zach Galligan, Frank Welker, Harry Carey, Jr., Nicky Katt, Susan Burgess, Marvin Miller, Jim McKrell, Jonathan Banks, Gwen Willson, Chuck Jones, Edward Andrews, Donald Elson, Joe Brooks, Jerry Goldsmith, Bob Harks, John Louie, Kenny Davis, Arnie Moore, Howie Mandel, Michael Winslow, Lois Foraker, Peter Cullen, William Schallert, Glynn Turman, Michael Sheehan, Judge Reinhold, Paul Acerno, Hoyt Axton, Belinda Balaski, Mark Dodson, Don Steele, Frances Lee McCain, Keye Luke, Scott Brady, Polly Holliday, Corey Feldman, Kenneth Tobey, Jackie Joseph, Bob Bergen, Steven Spielberg, Bob Holt, Tom Bergeron, Dick Miller, John C. Becher, Dean Rader Duval, Brad Kesten, Fred Newman, Tracy Wells, Danny Llewelyn, Phoebe Cates",Joe Dante,Chris Columbus,"Amblin Entertainment, Warner Bros. Pictures, Warner Bros.","Steven Spielberg, Frank Marshall, Kathleen Kennedy, Michael Finnell",en,6033,7.099,33.699,106,1984-06-08
Interview with the Vampire,628,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.","Horror, Drama, Fantasy","Matthew Sim, Kirsten Dunst, Bellina Logan, George Antoni, Andrew Tiernan, Louis Lewis-Smith, Lyla Hay Owen, Micha Bergese, Antonio Banderas, Laure Marsac, Tom Cruise, Nathalie Bloch, Roger Lloyd Pack, Louise Kim Salter, Monte Montague, Marcel Iureș, Sara Stockbridge, Nicole DuBois Favre, Simon Tyrrell, Christian Slater, Thandiwe Newton, Virginia McCollam, Helen McCrory, Brad Pitt, Mike Seelig, Lee E. Scharfstein, Katia Caballero, George Kelly, Stephen Rea, Jeanette Kontomitras, Susan Lynch, Rory Edwards, John McConnell, Indra Ové, François Testory, Domiziana Giordano",Neil Jordan,Anne Rice,Geffen Pictures,"David Geffen, Stephen Woolley",en,5541,7.385,49.716,123,1994-11-11
The Fly,9426,"When Seth Brundle makes a huge scientific and technological breakthrough in teleportation, he decides to test it on himself. Unbeknownst to him, a common housefly manages to get inside the device and the two become one.","Horror, Science Fiction","George Chuvalo, Jeff Goldblum, Shawn Hewitt, Typhoon, Carol Lazare, Michael Copeman, John Getz, Geena Davis, Leslie Carlson, David Cronenberg, Joy Boushel, Ann Green",David Cronenberg,"David Cronenberg, Charles Edward Pogue, George Langelaan","SLM Production Group, Brooksfilms",Stuart Cornfeld,en,4159,7.4,61.707,96,1986-08-15
Red Dragon,9533,"Former FBI Agent Will Graham, who was once almost killed by the savage Hannibal 'The Cannibal' Lecter, now has no choice but to face him again, as it seems Lecter is the only one who can help Graham track down a new serial killer.","Crime, Thriller, Horror","Philip Seymour Hoffman, Mary Anne McGarry, Robert Curtis Brown, Edward Norton, Mark Moses, Lisa Thornhill, Mary-Louise Parker, David Doty, Ellen Burstyn, Tanya Newbould, Azura Skye, Ken Leung, Katie Rich, Frankie Faison, Joseph Simmons, Tom Verica, Anthony Hopkins, Madison Mason, Emily Watson, Frank Whaley, Marc Abraham, Tyler Patrick Jones, Anthony Heald, John Rubinstein, Lisa Haley, Lalo Schifrin, Alex Berliner, William Lucking, Bill Duke, Jeanine Jackson, Michael Cavanaugh, Elizabeth Dennehy, Stanley Anderson, Mary Beth Hurt, Harvey Keitel, Norman Fessler, James Pickens Jr., Brenda Strong, Ralph Fiennes, Marguerite MacIntyre, Veronica De Laurentiis",Brett Ratner,"Thomas Harris, Ted Tally","Universal Pictures, Metro-Goldwyn-Mayer, Dino De Laurentiis Company, Mikona Productions, DDL Cinematografica","Andrew Z. Davis, Martha De Laurentiis, Dino De Laurentiis",en,4037,7.022,8.867,124,2002-10-02
Rosemary's Baby,805,"A young couple, Rosemary and Guy, moves into an infamous New York apartment building, known by frightening legends and mysterious events, with the purpose of starting a family.","Drama, Horror, Thriller","Ralph Bellamy, Elmer Modlin, Charles Grodin, Patsy Kelly, Elisha Cook Jr., Jean Inness, Tony Curtis, Mona Knox, William Castle, Hope Summers, Max Wagner, Phil Leeds, Patricia O'Neal, Carol Brewster, Ruth Gordon, Craig Littler, Walter Baldwin, Almira Sessions, Wende Wagner, Clay Tanner, Sidney Blackmer, Marianne Gordon, Mia Farrow, Emmaline Henry, Robert Osterloh, George R. Robertson, John Cassavetes, Hanna Landy, Victoria Vetri, D'Urville Martin, Maurice Evans",Roman Polanski,"Ira Levin, Roman Polanski",William Castle Productions,William Castle,en,3690,7.8,30.73,138,1968-06-12
M3GAN,536554,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.","Science Fiction, Horror","Marley Sharpe, Kira Josephson, Violet McGraw, Clinton Randell, Jen Van Epps, Arlo Green, Millen Baird, Jenna Davis, Brian Jordan Alvarez, Ronny Chieng, Samson Chan-Boon, Cameron Randell, Amy Usherwood, Natasha Daniel, Jack Cassidy, Renee Lyons, Lori Dungey, Mila Leith, Coco Poole, Michael Saccente, Chelsie Preston Crayford, Allison Williams, Ruby Qereqeretabua, Amie Donald, Jaya Beach-Robertson, Stephane Garneau-Monten",Gerard Johnstone,"Akela Cooper, James Wan","Atomic Monster, Blumhouse Productions, Divide / Conquer, Universal Pictures","Greg Gilreath, Jason Blum, Judson Scott, Adam Hendricks, Michael Clear, Ryan Turek, Mark David Katchur, James Wan, Allison Williams",en,3625,7.122,69.187,102,2022-12-28
Army of Darkness,766,"Ash, a handsome, shotgun-toting, chainsaw-armed department store clerk, is time warped backwards into England's Dark Ages, where he romances a beauty and faces legions of the undead.","Fantasy, Horror, Comedy","Deke Anderson, Bruce Campbell, Sara Shearer, Courtney Pakiz, Monique Yates Jr., Billy Bryan, Micheal Kenney, Bill Moseley, David Pollison, Lorraine Axeman, Sheri Burke, Embeth Davidtz, Ivan Raimi, Nadine Grycan, Bruce Thomas, Angela Featherstone, Patricia Anne Isgate-Hayward, David O'Malley, Ken Jepson, Timothy Patrick Quill, Bernard Rose, Robert Brent Lappin, Bridget Fonda, Sol Abrams, Andy Bale, Richard Grove, Rad Milo, Sam Raimi, J Michael Briggs, Patricia Tallman, Josh Becker, Ron Zwang, Chris Webster, William Lustig, Bill Vincent, Marcus Gilbert, Shiva Gordon, Ted Raimi, Brad Bradbury, Bridget Hoffman, Don Campbell, Harley Cokeliss, Michael Earl Reid, Lisa Michelle Axelrod, Ian Abercrombie, Eric Clarke, Charlie Campbell, Jerry Rector",Sam Raimi,"Sam Raimi, Ivan Raimi","Renaissance Pictures, Dino De Laurentiis Company, Introvision International, Universal Pictures","Robert Tapert, Bruce Campbell, Dino De Laurentiis",en,2967,7.256,34.57,81,1992-10-31
Evil Dead II,765,"Ash Williams and his girlfriend Linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from ""The Book of the Dead."" As they play the recording an evil power is unleashed taking over Linda's body.","Horror, Comedy, Fantasy","Tom Sullivan, Sam Raimi, Josh Becker, Tony Elwood, Richard Domeier, David Goodman, Gary Jones, Dan Hicks, John W. Walter, Jenny Griffith, Mitch Cantor, Robert Tapert, Thomas Kidd, John Peakes, Lou Hancock, Sol Abrams, Snowy Winters, Sarah Berry, Greg Nicotero, Ted Raimi, Scott Spiegel, Kassie DePaiva, Bruce Campbell, Denise Bixler, William Preston Robertson",Sam Raimi,"Scott Spiegel, Sam Raimi","Rosebud Releasing Corporation, Renaissance Pictures, Dino De Laurentiis Company","Alex De Benedetti, Irvin Shapiro, Robert Tapert",en,2924,7.6,38.429,84,1987-03-13
The Orphanage,6537,"A woman brings her family back to her childhood home, which used to be an orphanage, intent on reopening it. Before long, her son starts to communicate with a new invisible friend.","Horror, Drama, Thriller","Alejandro Camps, Isabel Friera, Óscar Lara, Jordi Cardus, Montserrat Carulla, Blanca Martínez, Georgina Avellaneda, Fernando Cayo, Andrés Gertrúdix, Enric Arquimbau, Óscar Casas, Edgar Vivar, Belén Rueda, Geraldine Chaplin, Carmen López, Roger Príncep, Mabel Rivera, Carla Gordillo",J. A. Bayona,"Rubén Lardín, Sergio G. Sánchez","Telecinco Cinema, Rodar y Rodar","Guillermo del Toro, Álvaro Augustin, Mar Targarona, Joaquín Padró",es,2743,7.229,23.957,105,2007-05-20
Martyrs,9539,"A young woman’s quest for revenge against the people who kidnapped and tortured her as a child leads her and her best friend, also a victim of child abuse, on a terrifying journey into a living hell of depravity.","Horror, Drama, Thriller","Isabelle Chasse, Louis Thevenon, Jessie Pham, Morjana Alaoui, Emilie Miskdijan, Mathieu Samaille, Jean-Marie Moncelet, Patricia Tulasne, Mylène Jampanoï, Juliette Gosselin, Xavier Dolan, Robert Toupin, Erika Scott, Louise Boisvert, Michel Cormier, Tony Robinow, Anie Pascale, Gaëlle Cohen, Jean-François Boudreau, Mike Chute, Catherine Bégin, Patrick Dorval",Pascal Laugier,Pascal Laugier,"Wild Bunch, TCB Films, CinéCinéma, Canal+ Horizons, Eskwad, Canal+, Streetlight Films","Richard Grandpierre, Frédéric Doniguian, Marcel Giroux",fr,2522,7.328,29.216,99,2008-09-03
Scream VI,934433,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.","Horror, Crime, Thriller","Max Laferriere, Justin Johnson, Chanel Mings, Mizinga Mwinga, Josh Segarra, Jenna Wheeler-Hughes, Elizabeth Neale, Thomas Cadrot, Jack Champion, Jason Cavalier, Thom Newell, Tony Revolori, Melissa Barrera, Jenna Ortega, Céleste Dubé, Stephane Ishmael, Skeet Ulrich, Lydia Zadel, Hayden Panettiere, Eric Davis, Tim Robinson, André Bédard, Dermot Mulroney, Courteney Cox, Mason Gooding, Jesse Camacho, Devyn Nekoda, Barry Morgan, Liana Liberato, Erika Prevost, Matthew Giuffrida, Akiva Schaffer, Samara Weaving, Jack Quaid, Andre Anthony, Roger L. Jackson, Jasmin Savoy Brown, Henry Czerny","Tyler Gillett, Matt Bettinelli-Olpin","Kevin Williamson, Guy Busick, James Vanderbilt","Radio Silence, Project X Entertainment, Spyglass Media Group, Paramount","William Sherak, Kevin Williamson, Chad Villella, Peter Oillataguerre, Marianne Maddalena, Courteney Cox, James Vanderbilt, Ron Lynch, Gary Barber, Cathy Konrad, Paul Neinstein",en,2278,7.071,106.375,123,2023-03-08
The Lost Boys,1547,"When an unsuspecting town newcomer is drawn to local blood fiends, the Frog brothers and other unlikely heroes gear up to rescue him.","Horror, Comedy, Thriller","Kiefer Sutherland, Jim Turner, Timmy Cappello, Corey Haim, J. Dinan Myrtetus, Melanie Bishop, Barnard Hughes, Keith Butterfield, Gerald Younggren, Jane Bare, Ian Guindon, Edward Herrmann, Tony Cain, Inez Pandalfi, Christopher Peters, Chance Michael Corbitt, Sandra E. Garcia, B. Lowenberg, Captain Colourz, Todd Feder, Jami Gertz, Alexander Bacan Chapman, Billy Wirth, Nori Morgan, Kelly Jo Minter, Dianne Wiest, Douglas Mellor, Corey Feldman, Jamison Newlander, Nicole Vigil, Alex Winter, Eric Graves, Jason Patric, Brooke McCarter",Joel Schumacher,"Janice Fischer, Jeffrey Boam, James Jeremias",Warner Bros. Pictures,"Harvey Bernhard, Richard Donner",en,1884,7.066,21.068,97,1987-07-31
Take Shelter,64720,"Plagued by a series of apocalyptic visions, a young husband and father questions whether to shelter his family from a coming storm, or from himself.","Thriller, Drama, Horror","Shea Whigham, Michael Shannon, Tova Stewart, Robert Longstreet, Bart Flynn, Ray McKinnon, Stuart Greer, Heather Caldwell, Kathy Baker, LisaGay Hamilton, Katy Mixon, Ron Kennard, Natasha Randall, Scott Knisley, Jessica Chastain, Sheila Hullihen, Jeffrey Grover, Maryanne Nagel, Molly McGinnis",Jeff Nichols,Jeff Nichols,"Hydraulx, REI Capital, Grove Hill Productions, Strange Matter Films","Tyler Davidson, Sarah Green, Sophia Lin, Brian Kavanaugh-Jones",en,1644,7.04,13.524,120,2011-09-30
King Kong,244,"Adventurous filmmaker Carl Denham sets out to produce a motion picture unlike anything the world has seen before. Alongside his leading lady Ann Darrow and his first mate Jack Driscoll, they arrive on an island and discover a legendary creature said to be neither beast nor man. Denham captures the monster to be displayed on Broadway as King Kong, the eighth wonder of the world.","Adventure, Fantasy, Horror","Roy Brent, Sam Hardy, Robert Armstrong, Harry Cornbleth, Sailor Vincent, Roscoe Ates, Bill Williams, Carlotta Monti, Steve Clemente, James Dime, Frank Reicher, Gil Perkins, Reginald Barlow, Allen Jenkins, Edward Clark, Merian C. Cooper, Blackie Whiteford, Frances Curry, Victor Wong, Dick Curtis, Louise Emmons, James Flavin, Harry Tenbrook, Jack Perry, Fay Wray, Everett Brown, Harry Strang, George Magrill, Sandra Shaw, Noble Johnson, John Northpole, Bruce Cabot, Ernest B. Schoedsack, Charlie Hall, Paul Porcasi, Dorothy Gulliver","Merian C. Cooper, Ernest B. Schoedsack","Ruth Rose, Merian C. Cooper, Leon Gordon, James Ashmore Creelman, Edgar Wallace",RKO Radio Pictures,"David O. Selznick, Walter Daniels, Merian C. Cooper, Ernest B. Schoedsack",en,1382,7.597,29.293,104,1933-03-15
Bones and All,791177,"Abandoned by her father, a young woman embarks on a thousand-mile odyssey through the backroads of America where she meets a disenfranchised drifter. But despite their best efforts, all roads lead back to their terrifying pasts and to a final stand that will determine whether their love can survive their otherness.","Drama, Horror, Romance","Kendle Coffey, Jake Horowitz, Burgess Byrd, Hannah Barlow, Jenny McManus, Brady Gentry, Mark Rylance, Dori Lucas, Tom O'Brien, Jessica Harper, Max Soliz, Marshall Jackson, David Gordon Green, Sue Hopkins, Sean Bridgers, Michael Stuhlbarg, Johanna McGinley, John E. Brownlee, Taylor Russell, Christine Dye, Chloë Sevigny, Aaron J. Gould, Timothée Chalamet, Claudio Encarnacion Montero, Marcia Dangerfield, Anna Cobb, André Holland, Madeleine Hall, Ellie Parker",Luca Guadagnino,"Camille DeAngelis, David Kajganich","Frenesy Film, Per Capita Productions, MeMo Films, The Apartment Pictures, 3 Marys Entertainment, Tenderstories, Elafilm","Marco Morabito, Timothée Chalamet, Jonathan Montepare, Gabriele Moratti, Theresa Park, David Kajganich, Lorenzo Mieli, Giovanni Corrado, Marco Colombo, Francesco Melzi d'Eril, Peter Spears, Luca Guadagnino, Moreno Zani, Raffaella Viscardi",it,1179,7.081,33.442,131,2022-11-18
Dracula,138,"British estate agent Renfield travels to Transylvania to meet with the mysterious Count Dracula, who is interested in leasing a castle in London and is, unbeknownst to Renfield, a vampire. After Dracula enslaves Renfield and drives him to insanity, the pair sail to London together, and as Dracula begins preying on London socialites, the two become the subject of study for a supernaturalist professor, Abraham Van Helsing.","Horror, Drama, Fantasy","Bela Lugosi, Josephine Velez, Tod Browning, David Manners, Herbert Bunston, Bunny Beatty, Carla Laemmle, Joan Standing, Daisy Belmore, Geraldine Dvorak, Dwight Frye, Helen Chandler, Charles K. Gerrard, Edward Van Sloan, Moon Carroll, Nicholas Bela, Michael Visaroff, Frances Dade, Barbara Bozoky, Dorothy Tree, John George, William A. Boardway, Anita Harder, Cornelia Thaw, Wyndham Standing, Florence Wix, Anna Bakacs","Tod Browning, Karl Freund","Max Cohen, Frederick Stephani, Louis Stevens, Dudley Murphy, Tod Browning, Hamilton Deane, Garrett Fort, Bram Stoker, John L. Balderston, Louis Bromfield",Universal Pictures,"Tod Browning, Carl Laemmle Jr.",en,1104,7.2,27.417,74,1931-02-12
What Ever Happened to Baby Jane?,10242,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,"Thriller, Drama, Horror","John Shay, William Aldrich, Bert Freed, Robert Cornthwaite, Julie Allred, Anna Lee, Maxine Cooper, Gina Gillespie, Sammy Shack, Joan Crawford, Barbara Merrill, Norman Papson, Jack Tornek, Dorothea Lord, Ralph Hart, Don Ross, Russ Conway, Ernest Anderson, Peter Virgo, Mike Ragan, Maidie Norman, Robert Perry, Murray Alper, Wesley Addy, Marjorie Bennett, Bill Walker, Victor Buono, Anne Barton, Debbie Burton, Ralph Volkie, Michael Fox, James Seay, Bobs Watson, Michael St. Angel, Bette Davis, Dave Willock, Jon Shepodd, Steve Condit",Robert Aldrich,"Lukas Heller, Henry Farrell","The Associates & Aldrich Company, Seven Arts Productions, Warner Bros. Pictures","Kenneth Hyman, Robert Aldrich",en,971,7.928,18.307,135,1962-10-12
Repulsion,11481,"Beautiful young manicurist Carole suffers from androphobia (the pathological fear of interaction with men). When her sister and roommate, Helen, leaves their London flat to go on an Italian holiday with her married boyfriend, Carole withdraws into her apartment. She begins to experience frightful hallucinations, her fear gradually mutating into madness.","Drama, Thriller, Horror","Monica Merlin, Helen Fraser, Mike Pratt, Ian Hendry, Imogen Graham, Catherine Deneuve, Yvonne Furneaux, Renée Houston, Patrick Wymark, James Villiers, Hugh Futcher, Valerie Taylor, John Fraser, Roman Polanski",Roman Polanski,"David Stone, Gérard Brach, Roman Polanski","Compton Films, Tekli British Productions","Tony Tenser, Sam Waynberg, Michael Klinger, Gene Gutowski",en,926,7.424,16.754,105,1965-06-01
Bride of Frankenstein,229,"Dr. Pretorius, a deranged scientist, forces Henry Frankenstein to help him create a companion for the monster.","Horror, Science Fiction","Helen Gibson, Carmencita Johnson, Walter Brennan, Ernest Thesiger, Ted Billings, Reginald Barlow, Marie DeForrest, Lucien Prival, Anders Van Haden, Charles Murphy, John George, Mary Stewart, Frank Terry, Mae Bruce, E. E. Clive, A.S. Byron, Boris Karloff, Grace Cunard, O. P. Heggie, Elspeth Dudgeon, Brenda Fowler, Josephine McKim, Dwight Frye, Norman Ainsley, Dorothy Vernon, Robert Adair, Lucio Villiegas, Mary Gordon, Sarah Schwartz, Tempe Pigott, Marilyn Harris, Billy Barty, Una O'Connor, Colin Clive, John Carradine, J. Gunnis Davis, Edwin Mordant, Douglas Walton, Maurice Black, Peter Shaw, Joseph North, Elsa Lanchester, Frank Benson, Helen Jerome Eddy, Murdock MacQuarrie, Valerie Hobson, Helen Parrish, D'Arcy Corrigan, Torben Meyer, Anne Darling, Edward Peil Sr., Gavin Gordon, Rollo Lloyd, Neil Fitzgerald, Joan Woodbury",James Whale,"Philip MacDonald, Josef Berne, Robert Florey, John L. Balderston, Lawrence G. Blochman, Mary Shelley, Flo Brummel, William Hurlbut, Morton Covan, R.C. Sherriff, Edmund Pearson",Universal Pictures,Carl Laemmle Jr.,en,892,7.5,16.884,75,1935-04-20
Diabolique,827,"The cruel and abusive headmaster of a boarding school, Michel Delassalle, is murdered by an unlikely duo -- his meek wife and the mistress he brazenly flaunts. The women become increasingly unhinged by a series of odd occurrences after Delassalle's corpse mysteriously disappears.","Drama, Horror, Thriller","Johnny Hallyday, Jean-Pierre Bonnefous, Paul Meurisse, Robert Dalban, Christian Brocard, Charles Vanel, Henri Humbert, Madeleine Suffel, Georges Poujouly, Georges Chamarat, Jacques Hilling, Jean Clarieux, Michel Dumur, Zappy Max, Henri Coutet, Jacques Varennes, Thérèse Dorny, Jimmy Urbain, Yves-Marie Maurin, Noël Roquevert, Michel Serrault, Pierre Larquey, Jean Lefebvre, Jean Témerson, Véra Clouzot, Simone Signoret, Jean Brochard, Camille Guérini",Henri-Georges Clouzot,"Henri-Georges Clouzot, Pierre Boileau, Frédéric Grendel, Jérôme Géronimi, René Masson, Thomas Narcejac","Véra Films, Filmsonor","Henri-Georges Clouzot, Georges Lourau",fr,889,7.9,15.106,117,1955-01-29
Thirst,22536,"A respected priest volunteers for an experimental procedure that may lead to a cure for a deadly virus. He gets infected and dies, but a blood transfusion of unknown origin brings him back to life. Now, he’s torn between faith and bloodlust, and has a newfound desire for the wife of a childhood friend.","Drama, Horror, Thriller","Choi Hee-jin, Mercedes Cabral, Shin Ha-kyun, Lee Hwa-ryong, Ériq Ebouaney, Ra Mi-ran, Choi Jong-ryul, Park In-hwan, Song Young-chang, Thati Peele, Song Kang-ho, Goo Yong-wan, Oh Dal-su, Kim Hee-ok, Jo Deok-jae, Seo Dong-soo, Kim Ok-vin, Han Chul-woo, Hwang Woo-seul-hye, Jo Moon-ee, Kim Hae-sook, Kim Tae-hee, Son Jong-hak, Natallia Bulynia",Park Chan-wook,"Chung Seo-kyung, Émile Zola, Park Chan-wook","CJ Entertainment, Moho Film, Focus Features, FFI Pictures","Joon H. Choi, Katharine Kim, Kim Hak-beom, Simon Lee, Kabe Park, Bob Seh, Nam Ki-moon, Miky Lee, Ahn Soo-hyun, Park Chan-wook",ko,877,7.082,21.207,134,2009-04-30
Resident Evil: Death Island,1083862,"In San Francisco, Jill Valentine is dealing with a zombie outbreak and a new T-Virus, Leon Kennedy is on the trail of a kidnapped DARPA scientist, and Claire Redfield is investigating a monstrous fish that is killing whales in the bay. Joined by Chris Redfield and Rebecca Chambers, they discover the trail of clues from their separate cases all converge on the same location, Alcatraz Island, where a new evil has taken residence and awaits their arrival.","Animation, Action, Horror","Salli Saffioti, Kevin Dorman, Frank Todaro, Erin Cahill, Ryan Colt Levy, Joe Hernandez, Zeke Alton, Cristina Valenzuela, Stephanie Panisello, Nicole Tompkins, Matthew Mercer, Bill Butts, Bob Carter, Lucien Dodge, Tiana Camacho, Alejandro Saab, Dawn M. Bennett, Luis Bermudez, Brent Mukai, John Bentley, Kim Gasiciel, Daman Mills, Isaac Robinson-Smith",Eiichirō Hasumi,"Makoto Fukami, Shinji Mikami","Capcom, Quebico, Sony Pictures, Sammy, Robot Communications, KADOKAWA, TMS Entertainment","Hiroyasu Shinohara, Takeshi Kikuchi, Shuzo Kasahara, Sho Tanaka, Sachi Sahara, Daijo Kudo, Yohei Kikuchi, Haruki Satomi, Naoto Kase, Koichi Sano, Tadashi Takezaki, Midori Tomita",ja,860,7.455,66.696,91,2023-06-22
